employee_id,first_name,last_name,gender,hire_date,termination_date,department,job_level,location
8273,Nicolas,Barthelemy,Male,2021-02-16,,Finance,T1,Paris
8790,Alexandria,Poirier,Non-Binary,2025-07-18,2025-07-26,Sales,T1,Marseille
7634,Anouk,Bouchet,Female,2023-09-06,2025-01-25,Data,T5,Bordeaux
3829,Alice,Lejeune,Female,2024-05-25,2024-06-27,Product,T1,Lyon
4618,Martine,Noël,Non-Binary,2024-07-11,,Product,T2,Lille
4490,Maryse,Simon,Non-Binary,2022-12-18,2023-06-01,Human Resources,T1,Bordeaux
2444,Olivier,Pages,Male,2021-08-19,,Product,T5,Paris
2133,Théodore,Robin,Male,2022-11-28,,Finance,T2,Nantes
8572,Christiane,Bruneau,Non-Binary,2021-08-18,2025-09-19,Finance,T3,Bordeaux
5595,Christiane,Lefebvre,Non-Binary,2022-08-14,,Product,T5,Lyon
6968,Charlotte,Vasseur,Non-Binary,2021-07-30,2022-10-25,Engineering,T3,Nantes
7464,Stéphanie,Morvan,Non-Binary,2022-05-17,,Engineering,T5,Marseille
8558,Agathe,Tanguy,Female,2021-12-09,,Finance,T4,Limoges
3417,Julie,Léger,Female,2024-04-15,,Data,T4,Paris
5069,Lorraine,Gaudin,Non-Binary,2023-07-24,,Product,T2,Marseille
6300,Maryse,Jacquot,Non-Binary,2025-06-01,2025-09-09,Human Resources,T1,Limoges
6597,Inès,Faivre,Female,2024-07-06,,Data,T4,Nantes
4481,Marthe,Costa,Female,2022-12-01,,Data,T2,Limoges
6882,Patricia,Bonnet,Non-Binary,2021-11-05,2025-09-08,Sales,T3,Nantes
7447,Susanne,Bertrand,Non-Binary,2021-10-16,2023-11-19,Data,T3,Bordeaux
9777,Alice,Le Gall,Female,2025-03-01,,Engineering,T1,Lille
1653,Alice,Aubry,Non-Binary,2023-01-23,,Sales,T3,Limoges
7036,Frédérique,Louis,Female,2022-11-28,,Sales,T3,Marseille
8686,Henri,Charles,Male,2024-07-01,,Data,T1,Bordeaux
2984,Laure,Prévost,Female,2021-04-13,,Engineering,T3,Marseille
